month,rain_index,temp_index,wind_index,pressure_index,climate_index,station_id,last_computed_at
1,0.1416381520578199,0.4361026069365833,0.19893144292191026,0.827125661294092,0.4009494658026014,63671_ Wajir,2026-01-10 17:29:51.328426
2,0.3505561887641806,0.7071057207489942,0.45767746645190954,0.8403102547651873,0.5889124076825679,63671_ Wajir,2026-01-10 17:29:51.328426
3,0.23939443673076022,0.8917664464385119,0.3227214522868659,0.831081340215188,0.5712409189178316,63671_ Wajir,2026-01-10 17:29:51.328426
4,0.75,0.5735018264823877,0.2786022628076568,0.8911671891589986,0.6233178196122607,63671_ Wajir,2026-01-10 17:29:51.328426
5,0.30950771635610774,0.2621576385107977,0.4134702344027267,0.32515062649161874,0.32757155394031273,63671_ Wajir,2026-01-10 17:29:51.328426
6,0.12491012574678197,0.10077806966891152,0.6650255093943312,0.375573320723123,0.31657175638328694,63671_ Wajir,2026-01-10 17:29:51.328426
7,0.14114196240455795,0.06976578528205851,0.6927197231455554,0.1484125435870448,0.2630100036048042,63671_ Wajir,2026-01-10 17:29:51.328426
8,0.1087386898966509,0.03125072115755381,0.7485847927638903,0.08130319780182726,0.24246935040498058,63671_ Wajir,2026-01-10 17:29:51.328426
9,0.10320187718805811,0.10099598374763362,0.4721962851631423,0.41607443229822194,0.273117144599264,63671_ Wajir,2026-01-10 17:29:51.328426
10,0.22879100728679116,0.2954054847416386,0.29048717763641974,0.541409147512972,0.33902320429445537,63671_ Wajir,2026-01-10 17:29:51.328426
11,0.7063102328864203,0.3731485390875496,0.2815615049221309,0.6358699599270976,0.4992225592057996,63671_ Wajir,2026-01-10 17:29:51.328426
12,0.19086219991110923,0.25403799439389857,0.22751610787905427,0.691599711834336,0.34100400350459953,63671_ Wajir,2026-01-10 17:29:51.328426
