month,rain_index,temp_index,wind_index,pressure_index,climate_index,station_id,last_computed_at
1,0.22659656904614706,0.685516669318778,0.8808859268949907,0.6938309169626644,0.621707520555645,63710_Kericho,2026-01-10 17:54:14.543797
2,0.10939408515287959,0.9347251516076494,1.0,0.772418619792259,0.7041344641381969,63710_Kericho,2026-01-10 17:54:14.543797
3,0.47502852515959676,0.9076281274581894,0.8076198756949003,0.7454643047567564,0.7339352082673607,63710_Kericho,2026-01-10 17:54:14.543797
4,0.9268377016422273,0.6799534199152217,0.3675077147154657,0.70840460089554,0.6706758592921137,63710_Kericho,2026-01-10 17:54:14.543797
5,0.6314234016597872,0.5309860400861226,0.05134177183766689,0.4471487139916448,0.4152249818938054,63710_Kericho,2026-01-10 17:54:14.543797
6,0.4241491011518714,0.0,0.1426889455246805,0.13581809434323255,0.17566403525494612,63710_Kericho,2026-01-10 17:54:14.543797
7,0.4010654401768506,0.19883044487118334,0.002554415071573995,0.06411228873899133,0.1666406472146498,63710_Kericho,2026-01-10 17:54:14.543797
8,0.45702978998458943,0.38083266592548565,0.08119027335613221,0.14442479944438336,0.26586938217764766,63710_Kericho,2026-01-10 17:54:14.543797
9,0.49033441496017205,0.6262735658356935,0.15666087599496725,0.6244192079313791,0.47442201618055296,63710_Kericho,2026-01-10 17:54:14.543797
10,0.8369421508466645,0.634009063593685,0.4225981491868045,0.8358320509355319,0.6823453536406714,63710_Kericho,2026-01-10 17:54:14.543797
11,0.7559973797699249,0.5120353314592757,0.5368026256454466,0.764893774690081,0.6424322778911821,63710_Kericho,2026-01-10 17:54:14.543797
12,0.4097826926361092,0.5753934977014776,0.6918696015049719,0.6838865144168021,0.5902330765648403,63710_Kericho,2026-01-10 17:54:14.543797
