month,rain_index,temp_index,wind_index,pressure_index,climate_index,station_id,last_computed_at
1,0.2128081653779333,0.3682937711655352,0.37786004884012175,0.8866297470661353,0.4613979331124314,63799_Malindi,2026-01-10 18:33:41.354482
2,0.17168935060112595,0.45709070415586905,0.38845916377036005,0.8699032944053607,0.47178562823317893,63799_Malindi,2026-01-10 18:33:41.354482
3,0.2754905912741919,0.8789333689161744,0.36382926497204365,0.8969101486687129,0.6037908434577807,63799_Malindi,2026-01-10 18:33:41.354482
4,0.648180852372463,0.8973800750549055,0.6566873932425872,0.9336867805329876,0.7839837753007357,63799_Malindi,2026-01-10 18:33:41.354482
5,0.786463713993437,0.46927766842024865,0.8396408471757904,0.5854486694458165,0.6702077247588232,63799_Malindi,2026-01-10 18:33:41.354482
6,0.5058583046842159,0.22600299121954362,0.7446014565218924,0.2533053731956961,0.432442031405337,63799_Malindi,2026-01-10 18:33:41.354482
7,0.34261530637388415,0.07206261034679014,0.7014823580553622,0.0,0.2790400686940091,63799_Malindi,2026-01-10 18:33:41.354482
8,0.25961304305943345,0.0,0.47699869061123656,0.11594957975007891,0.21314032835518723,63799_Malindi,2026-01-10 18:33:41.354482
9,0.20011744184543476,0.091855936390362,0.4321038329256925,0.2745423286827844,0.2496548849610684,63799_Malindi,2026-01-10 18:33:41.354482
10,0.5225207247496233,0.1982649932271621,0.47325502826800503,0.4722893314846839,0.41658251943236857,63799_Malindi,2026-01-10 18:33:41.354482
11,0.5152477706692355,0.4657188694913841,0.26898489050759966,0.7590889043787805,0.50226010876175,63799_Malindi,2026-01-10 18:33:41.354482
12,0.323906662380736,0.4483001138894545,0.30814411339733366,0.8860336581066492,0.49159613694354337,63799_Malindi,2026-01-10 18:33:41.354482
