month,rain_index,temp_index,wind_index,pressure_index,climate_index,station_id,last_computed_at
1,0.2402729968167733,0.2553388164653918,0.6267059839550628,0.7586857025452138,0.47025087494561046,63717_Nyeri,2026-01-10 17:58:31.555257
2,0.2528731961576383,0.4808353337046928,0.7389155452227161,0.7774562575056858,0.5625200831476833,63717_Nyeri,2026-01-10 17:58:31.555257
3,0.35640520546465626,0.8347815472095901,0.45926924438948635,0.766848778122033,0.6043261937964415,63717_Nyeri,2026-01-10 17:58:31.555257
4,0.7428684490309061,0.4500378786675283,0.4797088574562293,0.8304542585629087,0.6257673609293931,63717_Nyeri,2026-01-10 17:58:31.555257
5,0.5400721988655863,0.33556022673557606,0.2137418910801433,0.363588402860193,0.3632406798853747,63717_Nyeri,2026-01-10 17:58:31.555257
6,0.37454451161058727,0.23307782914343994,0.6514603223950659,0.32344336316730604,0.39563150657909985,63717_Nyeri,2026-01-10 17:58:31.555257
7,0.19321703710313248,0.19111451082953787,0.725805200596729,0.15040668422767167,0.31513585818926776,63717_Nyeri,2026-01-10 17:58:31.555257
8,0.2131250307699695,0.29115499088259494,0.5206662670191425,0.10098758388163354,0.28148346813833514,63717_Nyeri,2026-01-10 17:58:31.555257
9,0.2842011620193288,0.4942337519283516,0.7705020925766042,0.4141990362557818,0.49078401069501665,63717_Nyeri,2026-01-10 17:58:31.555257
10,0.31415752619031573,0.5927132576253887,0.6707819621440692,0.5527069900230215,0.5325899339956988,63717_Nyeri,2026-01-10 17:58:31.555257
11,0.6047774135826212,0.19867007109293205,0.1885587516047048,0.7174594561086042,0.42736642309721556,63717_Nyeri,2026-01-10 17:58:31.555257
12,0.36649376755746205,0.21758914472992766,0.3828930382551115,0.688611113837698,0.41389676609504983,63717_Nyeri,2026-01-10 17:58:31.555257
