month,rain_index,temp_index,wind_index,pressure_index,climate_index,station_id,last_computed_at
1,0.25,0.6004482245374941,0.7632890834180499,0.8662974851095434,0.6200086982662719,63619_Moyale,2026-01-10 15:29:13.407197
2,0.3127475154506025,0.7493897939490257,0.8693146551610087,0.8140692385408704,0.6863803007753768,63619_Moyale,2026-01-10 15:29:13.407197
3,0.4667489156544754,0.8599656479912277,0.3736887490505071,0.7928272449932143,0.623307639422356,63619_Moyale,2026-01-10 15:29:13.407197
4,0.75,0.3943049379112771,0.1383416632385992,0.80203187921102,0.521169620090224,63619_Moyale,2026-01-10 15:29:13.407197
5,0.6458033474885155,0.22224721746483722,0.13579892044494107,0.3512502441753629,0.33877493239341416,63619_Moyale,2026-01-10 15:29:13.407197
6,0.26674908824547816,0.06321135042024983,0.34467099297335124,0.3027264543821401,0.24433947150530483,63619_Moyale,2026-01-10 15:29:13.407197
7,0.18305537967791657,0.11790115216276296,0.5982644414080697,0.06309228810936574,0.24057831533952875,63619_Moyale,2026-01-10 15:29:13.407197
8,0.1866650918927317,0.1569945293610389,0.6499972127857715,0.11239677992788488,0.2765134034918567,63619_Moyale,2026-01-10 15:29:13.407197
9,0.2489607042156206,0.18006545334216295,0.7185797280607525,0.4246457773359761,0.39306291573862806,63619_Moyale,2026-01-10 15:29:13.407197
10,0.708577367501545,0.21158641962290384,0.23318779122815916,0.5678705446594364,0.43030553075301115,63619_Moyale,2026-01-10 15:29:13.407197
11,0.7255989498992894,0.3557110649169431,0.26077132214286736,0.6533662686369364,0.49886190139900904,63619_Moyale,2026-01-10 15:29:13.407197
12,0.17431070791986802,0.37761764784196805,0.3441829902979092,0.7547387845222586,0.412712532645501,63619_Moyale,2026-01-10 15:29:13.407197
