month,rain_index,temp_index,wind_index,pressure_index,climate_index,station_id,last_computed_at
1,0.2577546060541105,0.31759193057448143,0.28853724750823617,0.7171450505642317,0.3952572086752649,63624_Mandera,2026-01-10 15:33:04.447311
2,0.25,0.6756928481310889,0.3160467155971731,0.745869088503736,0.4969021630579995,63624_Mandera,2026-01-10 15:33:04.447311
3,0.33353705067592954,0.9456570657085472,0.22961377714161835,0.8183194844899045,0.5817818445039998,63624_Mandera,2026-01-10 15:33:04.447311
4,0.7491975596708287,0.6269945193523407,0.3202097722535702,0.7683587100866034,0.6161901403408357,63624_Mandera,2026-01-10 15:33:04.447311
5,0.38572964948022564,0.2755510984535242,0.38416743802042574,0.4086782087360479,0.36353159867255586,63624_Mandera,2026-01-10 15:33:04.447311
6,0.11689338290666311,0.13736665896241007,0.5161140229670182,0.3566467538848549,0.2817552046802366,63624_Mandera,2026-01-10 15:33:04.447311
7,0.11557084948012564,0.049064837405865126,0.7409605862198438,0.13301789692813248,0.25965354250849176,63624_Mandera,2026-01-10 15:33:04.447311
8,0.15832350643723084,0.1252706438285166,0.7148026927255553,0.12396525446937334,0.280590524365169,63624_Mandera,2026-01-10 15:33:04.447311
9,0.1006567473343002,0.20098930297726858,0.6009218516474175,0.46668048182049815,0.3423120959448711,63624_Mandera,2026-01-10 15:33:04.447311
10,0.4998952911087282,0.340727683900127,0.39245458150195695,0.4813784280534482,0.4286139961410651,63624_Mandera,2026-01-10 15:33:04.447311
11,0.6633672337580985,0.22808749003701811,0.1717182316298891,0.5324289246258478,0.3989004700127134,63624_Mandera,2026-01-10 15:33:04.447311
12,0.25263719991137135,0.2583323434155209,0.24576814257369614,0.6869294511464948,0.3609167842617708,63624_Mandera,2026-01-10 15:33:04.447311
