month,rain_index,temp_index,wind_index,pressure_index,climate_index,station_id,last_computed_at
1,0.3587040284260442,0.27696598259023586,0.7017970636019436,0.8190763174102739,0.5391358480071244,63720_Embu,2026-01-10 18:01:18.981968
2,0.19197285788198862,0.6474720174027415,0.7701925984890784,0.8180655267916858,0.6069257501413735,63720_Embu,2026-01-10 18:01:18.981968
3,0.32989638041916647,0.8169708475858639,0.5287641808646099,0.7987063078771219,0.6185844291866904,63720_Embu,2026-01-10 18:01:18.981968
4,0.75,0.33862885434854073,0.22866367393478995,0.8489759290864423,0.5415671143424432,63720_Embu,2026-01-10 18:01:18.981968
5,0.5778795349641198,0.22267127028875364,0.05222025353960119,0.36744671243165306,0.3050544428060319,63720_Embu,2026-01-10 18:01:18.981968
6,0.3063644072767291,0.23763215814825175,0.1947649224016779,0.3430936302788884,0.2704637795263868,63720_Embu,2026-01-10 18:01:18.981968
7,0.30309706114111645,0.20159954926820367,0.31301776116467944,0.1611704935862568,0.2447212162900641,63720_Embu,2026-01-10 18:01:18.981968
8,0.2897360087710384,0.26736190659532183,0.3103955854559529,0.09775427849282814,0.24131194482878532,63720_Embu,2026-01-10 18:01:18.981968
9,0.22297213678756164,0.4232055167414336,0.17819740951483612,0.41167497117828233,0.3090125085555284,63720_Embu,2026-01-10 18:01:18.981968
10,0.3764975570899719,0.5066408208079073,0.19480050574946678,0.5388956011735054,0.40420862120521284,63720_Embu,2026-01-10 18:01:18.981968
11,0.5412201120758804,0.3416052735891397,0.3069403606416042,0.7137461668017353,0.4758779782770899,63720_Embu,2026-01-10 18:01:18.981968
12,0.33799470066094117,0.15350102398461754,0.6931465313978208,0.7143936659678731,0.4747589805028132,63720_Embu,2026-01-10 18:01:18.981968
