month,rain_index,temp_index,wind_index,pressure_index,climate_index,station_id,last_computed_at
1,0.3388421223148535,0.5170708507396059,0.10583844417795911,0.6979634542630414,0.414928717873865,63641_Marsabit,2026-01-10 15:36:06.468083
2,0.4051604989809988,0.8234883956862429,0.34672610502801143,0.7282015773888165,0.5758941442710175,63641_Marsabit,2026-01-10 15:36:06.468083
3,0.5075369388989224,0.8165629892169917,0.4557950844808857,0.7463732328196696,0.6315670613541173,63641_Marsabit,2026-01-10 15:36:06.468083
4,0.7726813521516761,0.4740966003092909,0.2183796662118131,0.810064171949536,0.568805447655579,63641_Marsabit,2026-01-10 15:36:06.468083
5,0.5240658172413919,0.1964808713503719,0.6876189265837691,0.3963239370267253,0.45112238805056454,63641_Marsabit,2026-01-10 15:36:06.468083
6,0.1538788983805704,0.0631114980934521,0.7525935256100055,0.39410715683659014,0.34092276973015456,63641_Marsabit,2026-01-10 15:36:06.468083
7,0.2839922073932259,0.04897606098685312,0.7122523055994157,0.1573129999924362,0.3006333934929827,63641_Marsabit,2026-01-10 15:36:06.468083
8,0.29048941634936337,0.19260707848293646,0.7736290670173607,0.12531845381309903,0.3455110039156899,63641_Marsabit,2026-01-10 15:36:06.468083
9,0.18579498369487313,0.21316494832348937,0.7297735364650573,0.5051303591315778,0.4084659569037494,63641_Marsabit,2026-01-10 15:36:06.468083
10,0.2891063994431654,0.4344775590557355,0.660852665022007,0.6442111540719234,0.5071619443982078,63641_Marsabit,2026-01-10 15:36:06.468083
11,0.7030159229374148,0.40341365805783364,0.15279270951169316,0.6063112577540879,0.4663833870652574,63641_Marsabit,2026-01-10 15:36:06.468083
12,0.2629136268824241,0.13896719588955453,0.06783551233591809,0.6656335241909854,0.2838374648247205,63641_Marsabit,2026-01-10 15:36:06.468083
