month,rain_index,temp_index,wind_index,pressure_index,climate_index,station_id,last_computed_at
1,0.2824329897128255,0.26594811183265843,0.2539304754632895,0.5591326979223156,0.3403610687327723,63709_Kisii,2026-01-10 17:49:33.716221
2,0.25,0.7446040598245296,0.5101433720922619,0.7877456030199887,0.573123258734195,63709_Kisii,2026-01-10 17:49:33.716221
3,0.39249421026197046,0.9056009896942716,0.4670811295956152,0.7072770890653446,0.6181133546543005,63709_Kisii,2026-01-10 17:49:33.716221
4,0.7434787822649344,0.15682591306608173,0.4907205384600023,0.8157037462059061,0.5516822449992311,63709_Kisii,2026-01-10 17:49:33.716221
5,0.4543285833765549,0.14055630040099076,0.7846349200846162,0.4182150967789118,0.4494337251602684,63709_Kisii,2026-01-10 17:49:33.716221
6,0.3010349086329467,0.04490628020755337,0.8751525964140707,0.3280055607389153,0.3872748364983716,63709_Kisii,2026-01-10 17:49:33.716221
7,0.2348026566774524,0.009965421795506916,0.6661227435895021,0.22071452541123104,0.2829013368684231,63709_Kisii,2026-01-10 17:49:33.716221
8,0.2969788064286985,0.23480169310382787,0.8091619778003325,0.29224175006758946,0.40829605685011205,63709_Kisii,2026-01-10 17:49:33.716221
9,0.3833357238156526,0.1983616086973772,0.5726047549470303,0.5740417434906551,0.43208595773767877,63709_Kisii,2026-01-10 17:49:33.716221
10,0.35831052653603207,0.2725500787336008,0.7608288114769739,0.6818835447559426,0.5183932403756373,63709_Kisii,2026-01-10 17:49:33.716221
11,0.661909145391677,0.09913621769813777,0.25732760672543786,0.7270946830343454,0.4363669132123995,63709_Kisii,2026-01-10 17:49:33.716221
12,0.4265772682080561,0.12660516701605273,0.0,0.7284194296560028,0.32040046622002794,63709_Kisii,2026-01-10 17:49:33.716221
