month,rain_index,temp_index,wind_index,pressure_index,climate_index,station_id,last_computed_at
1,0.24900241523727998,0.27441088502996563,0.6499002053225916,0.7747856526844681,0.48702478956857637,HKED0_Eldoret_Aistrip_,2026-01-10 18:36:16.078690
2,0.2902008874324486,0.7697474998268612,0.8044188548145271,0.7869624825691847,0.6628324311607554,HKED0_Eldoret_Aistrip_,2026-01-10 18:36:16.078690
3,0.37139378268085443,1.0,0.8544250984662867,0.7853203168145834,0.7527847994904312,HKED0_Eldoret_Aistrip_,2026-01-10 18:36:16.078690
4,0.7408576951759053,0.4076322134357437,0.6892182607051456,0.8556381401303701,0.6733365773617912,HKED0_Eldoret_Aistrip_,2026-01-10 18:36:16.078690
5,0.704359035095785,0.18930028637842655,0.2311576026525717,0.43684726391308826,0.3904160470099679,HKED0_Eldoret_Aistrip_,2026-01-10 18:36:16.078690
6,0.48690648940075154,0.14448823333237448,0.07858299504721894,0.21129538762423827,0.23031827635114582,HKED0_Eldoret_Aistrip_,2026-01-10 18:36:16.078690
7,0.6483551107320566,0.08576909469102749,0.0037927966383488935,0.001161721268522209,0.1847696808324888,HKED0_Eldoret_Aistrip_,2026-01-10 18:36:16.078690
8,0.6211267091852593,0.27955151465039246,0.13607435724743516,0.14226909937978793,0.2947554201157187,HKED0_Eldoret_Aistrip_,2026-01-10 18:36:16.078690
9,0.5798295241535611,0.14007301206168526,0.038028903214066316,0.5332414412755431,0.3227932201762139,HKED0_Eldoret_Aistrip_,2026-01-10 18:36:16.078690
10,0.5831609072211713,0.3102174351722793,0.4968413606067699,0.6953203331449382,0.5213850090362897,HKED0_Eldoret_Aistrip_,2026-01-10 18:36:16.078690
11,0.47426103325893054,0.15490145009317197,0.803687694894862,0.7963699096068371,0.5573050219634503,HKED0_Eldoret_Aistrip_,2026-01-10 18:36:16.078690
12,0.2238312577438712,0.3929230861885779,0.773137931504801,0.8655878647759152,0.5638700350532913,HKED0_Eldoret_Aistrip_,2026-01-10 18:36:16.078690
