month,rain_index,temp_index,wind_index,pressure_index,climate_index,station_id,last_computed_at
1,0.36451540832024276,0.5839675892993663,0.7549690314265257,0.683977580803754,0.5968574024624722,63708_Kisumu,2026-01-10 17:46:19.737188
2,0.1388239210114023,0.8972697509123114,0.8086448339840482,0.5947901561640968,0.6098821655179647,63708_Kisumu,2026-01-10 17:46:19.737188
3,0.39646521149659186,0.9404960886448848,0.665664064000806,0.7243033491380027,0.6817321783200714,63708_Kisumu,2026-01-10 17:46:19.737188
4,0.7823513139248873,0.31924210978907896,0.2702528155546766,0.6947501690963003,0.5166491020912358,63708_Kisumu,2026-01-10 17:46:19.737188
5,0.39479919413076814,0.06607133495462972,0.09059058514267614,0.32286064764553857,0.21858044046840314,63708_Kisumu,2026-01-10 17:46:19.737188
6,0.1859254174514388,0.023778981297150045,0.011616244779425845,0.27780614279678806,0.1247816965812007,63708_Kisumu,2026-01-10 17:46:19.737188
7,0.10818428141549499,0.04003940632221007,0.2464686877193874,0.25,0.16117309386427311,63708_Kisumu,2026-01-10 17:46:19.737188
8,0.2022928619324888,0.1703935754463067,0.5626250788009413,0.2702334149600466,0.3013862327849458,63708_Kisumu,2026-01-10 17:46:19.737188
9,0.33909445842201946,0.18681251351661937,0.34004934939125664,0.4954544763181927,0.34035269941202206,63708_Kisumu,2026-01-10 17:46:19.737188
10,0.3313878144765996,0.3868867620804568,0.31098631478468125,0.7258675972276376,0.4387821221423438,63708_Kisumu,2026-01-10 17:46:19.737188
11,0.5499731321184426,0.24442614937828938,0.5472327106914124,0.7260207161976464,0.5169131770964477,63708_Kisumu,2026-01-10 17:46:19.737188
12,0.44519795044939403,0.3700114721573761,0.5079286771586209,0.7559794534550643,0.5197793883051138,63708_Kisumu,2026-01-10 17:46:19.737188
